,location,iso_code,total_vaccinations_per_hundred
200,Tokelau,TKL,283.89
201,Tonga,TON,194.39
202,Trinidad and Tobago,TTO,103.26
203,Tunisia,TUN,107.17
204,Turkey,TUR,178.75
205,Turkmenistan,TKM,128.86
206,Turks and Caicos Islands,TCA,161.63
207,Tuvalu,TUV,225.77
208,Uganda,UGA,55.66
209,Ukraine,UKR,79.77
210,United Arab Emirates,ARE,263.97
211,United Kingdom,GBR,
212,United States,USA,201.44
213,Uruguay,URY,259.96
214,Uzbekistan,UZB,212.18
215,Vanuatu,VUT,89.85
216,Venezuela,VEN,133.78
217,Vietnam,VNM,270.57
218,Wales,OWID_WLS,271.03
219,Wallis and Futuna,WLF,155.73
220,Yemen,YEM,3.69
221,Zambia,ZMB,63.31
222,Zimbabwe,ZWE,74.89
